貼文時間,貼文ID,貼文內容,分享內容,讚數,分享數
2018-02-02 14:40:09+00:00,136845026417486_1233609483407696,"搭了五個小時的巴士，來到波蘭走向民主的起源地格但斯克造船廠，找一位我們台灣的老朋友：波蘭前總統華勒沙 Lech Wałęsa

聊了很多，不論是轉型正義，還是兩岸，感謝他總是這麼關注台灣。","柯文哲 added 4 new photos — in Gdansk, Poland.",19061,166
2018-02-01 12:13:15+00:00,136845026417486_1232630110172300,"【歐洲議會演說完整版：進步價值，光榮城市】

臺北價值，就是將西方社會中進步的價值，涵納進華人社會來。

臺北不一定要跟隨美國、中國大陸或是其他國家的腳步走，我們應該是朝向我們自己的價值與信念前進，那就是民主、自由、多元、開放、人權、法治以及永續。為什麼？因為這些價值提高了人民的生活水準，同時，這些價值與信念也是我當初當選的理由。

這些呼應了歐盟的基本權利－尊嚴、自由、平等、團結、公民權以及正義。這也是歐洲城市應該與臺北交往合作的理由，我相信若雙方合作，彼此都會受益。

大家都知道甚麼是對的甚麼是錯的，但是為什麼對的事情不堅持下去呢？臺北市民投票給我，不是因為我遵守既有的政治規則，或跟現在的政治文化很契合，而是因為我相信人民本來就相信的，並且為此挺身而出：民主、自由、多元、開放、人權、法治以及永續。

而且，我會堅持這樣的價值與信念，繼續奮鬥。

我永遠會記得，臺北市民投票給我，不是要我適應這個政治文化，而是要我去改變它。

謝謝各位。

#進步價值光榮城市
#歐洲議會演説",柯文哲 is at European Parliament.,28627,3113
2018-02-01 02:30:00+00:00,136845026417486_1232346196867358,"【出訪筆記：荷蘭】

昨天是荷蘭行程的最後一天，看了很多，也學到很多。

荷蘭在人口、土地、經濟狀況都和台灣相近，但科技和觀念就領先一些，尤其是他們積極發展循環經濟，回收廢棄物、雨水、廚餘、舊衣再利用，連建材也採用可以拆卸、可回收的材料，把廢棄物的比例降到最低。相較之下，台灣的資源更有限，所以這些荷蘭經驗，尤其是再生建材，可以考慮運用在我們的公共住宅建設之上。

這一次也實際看到荷蘭人的自行車文化，他們從小就被要求要學習騎自行車，政府也用了超過四十年的時間建置完整的自行車系統。顯然過去我們希望兩到三年內，讓台北的自行車系統可以達標的戰略是錯誤的，回去應該要好好思考重訂計畫，而不是幻想一步登天。

荷蘭的新創產業也是我們這次交流的重點，我們跟當地的多個團隊簽署MOU，希望他們把台北當成進軍華人市場的第一站，只要可以在台北成功，進入中國、甚至東亞市場就不是問題。為了減少作業上的麻煩，我們會提供一站式的服務，讓他們更願意來台北投資開公司。

另外，烏特勒支（Utrecht）市政廳也讓我們感到驚豔，原來政府可以這麼簡潔明亮，就像美術館和咖啡廳一樣，未來市府大樓對民眾開放的幾個樓層，應該可以找年輕的團隊重新設計規劃，把公共空間弄得更有質感。

四天下來，非常感謝荷蘭的熱情款待，我們會重視這趟荷蘭之旅的收穫與成果，也期盼未來雙方可以深化交流，就讓我們繼續前進下一站吧。",,20426,349
2018-01-29 10:07:27+00:00,136845026417486_1230167763751868,"來荷蘭烏特勒支市走一走，看看他們如何創造一個友善的自行車通行環境。

---
Part 1 看這邊
https://goo.gl/PbemQH",柯文哲 was live — at Station Utrecht Centraal.,10464,142
2018-01-29 09:40:44+00:00,136845026417486_1230143707087607,"來荷蘭烏特勒支市走一走，看看他們如何創造一座全世界最大的自行車停車場。

---
Part 2 看這邊
https://goo.gl/WvS2NB",柯文哲 was live — at Station Utrecht Centraal.,12028,201
2018-01-28 03:30:00+00:00,136845026417486_1228976073871037,"每次出訪，都是一次難得的學習機會，這一趟歐洲行也不例外。

荷蘭一直是我想去好好研究的地方，特別是台灣民主轉型後，台灣政治發展模式不可能再走回頭路，因此新加坡模式應該不再適合台灣。反倒是荷蘭因爲各種條件和台灣相近，更適合我們作為學習的標竿。另外，西方民主國家中，我總覺得強調競爭的資本主義帶來太多社會衝突，偏向社會主義式民主的荷蘭，應當是我們更可以學習的對象。

這次我們也會去歐盟所在地比利時布魯塞爾，並在歐洲議會中發表演說，以人口和經濟計算，歐盟都不下於美國，但過去相對於美國，我們都較忽略歐盟。

至於波蘭華沙則是台北市的姐妹市，但過去二十幾年沒有去了，這次除了參訪，也會特地去拜訪台灣的老朋友—波蘭前總統華勒沙，他過去成功領導工會組織對抗威權體制，獲得諾貝爾和平獎，也是我們請益的對象。土耳其政府則是有意在台北市捐助建立伊斯蘭文化中心，已派人來北市商談，趁著這次出訪也拜訪土耳其，增進和回教世界的交流。

十一天的時間，行程跟在國內一樣忙碌，我們要在有限的時間內，把該看的、該學的、該交流的都能夠完成，希望用城市外交為台灣多做一些事。

我們已經平安抵達荷蘭了，大家2月6日後台灣見。

https://www.instagram.com/p/BecOH8sg29H/",,40130,415
2018-01-27 13:15:49+00:00,136845026417486_1228569593911685,"很多人都聽過「順手捐發票，救救老殘窮」，也看過在路上推著烤爐賣烤地瓜的「地瓜媽媽」，這些都是創世、華山與人安基金會為了照顧弱勢所做的努力。

三十多年下來，他們用善心發票累計的獎金，照顧了無數的植物人、獨居老人與街友，但這幾年電子發票普及之後，紙本發票減少，他們的收入也跟著下滑。儘管如此，他們還是一如往常，在總統府前廣場舉辦寒士尾牙，讓街友在歲末年終時可以感受到社會的溫暖。

前天我跟著地瓜媽媽學習如何烤地瓜時，我也一邊思考，政府的力量有限、民間的力量無窮，如果可以公私協力，政府「購買」社會福利事業的服務，而不是直接補助、拿錢給他們，是不是可以讓社福機構更有效率的運作？

如何讓全台灣的社福機構可以發揮更大的力量，這是一個重要的問題 ，需要我們一起來思考。

創世基金會
華山基金會
人安基金會

-
歡迎大家踴躍捐款「寒士吃飽30」活動，讓獨居長輩、單親媽媽也能收到一份歲末祝福。
https://goo.gl/BE4GoG",,13016,204
2018-01-26 09:29:05+00:00,136845026417486_1227573790677932,"政治就是落實在人民的每一天生活之中，讓人民有好的居住環境，應當是中央和地方一致認同的進步價值。

台北市政府會和中央攜手合作，為這個國家的進步持續努力。

#健康公宅
#進步價值光榮城市

-
台北市居住服務讚
https://www.housing.taipei.gov.tw/",柯文哲 added 4 new photos — at 健康公共住宅.,9509,88
2018-01-24 03:57:21+00:00,136845026417486_1225792970856014,"高房價、高房租是台北的年輕人最痛恨的事。為了解決居住問題，除了剛落成的健康公宅，到今年年底台北市會有25座公共住宅同時在興建中，包租代管與分級租金補貼也已經上路了。

跟以前相比，現在已經有更多方案來解決台北的居住問題。但公宅、包租代管、租金分級補貼的普及也需要一段時間，在此之前，租屋族的安全還是需要先處理，因為安全問題不能等待。

所以，我們推出了「建築物自主維護檢查表」，大家可以下載來自我檢視自己的租屋環境是否安全，如果有問題，還可以拿檢查結果，通報1999市民熱線與Hello Taipei單一陳情系統，我們會派員了解案情，並限期要求房東改善。

政府存在的目的是為人民服務，所以即便這樣的服務上線後，建管處的同仁會很辛苦，我們還是要做。

一通電話，我們就會把關大家的租屋環境安全。

---
下載「建築物自主維護檢查表」自我檢查！
https://goo.gl/EAWwGa",,13757,337
2018-01-23 02:22:50+00:00,136845026417486_1224835844285060,"大家早安，今天我在松山區開會，大家關心的健康公宅議題，我們會在直播中跟各位市民朋友報告。

#行動市政會議
智慧臺北 幸福生活",柯文哲 was live.,4159,78
2018-01-22 10:50:14+00:00,136845026417486_1776174105764881,"我是外科醫師，但是今天要來談「內科」的問題。

內科一年產值高達四兆台幣，不只是台北，更是台灣的產業重鎮，但是經過這麼多年的發展，內科園區已經飽和，每天十五萬人進出這裡上下班，造成嚴重的交通問題。此外，隨著新經濟模式的發展，必須要有一個創新基地不斷的引入新產業，讓內科產業能夠新陳代謝、永續發展。

所以，我們要考慮的不只是內湖的交通，更要通盤進行都市計畫檢討，以及不斷注入產業創新能量。「內科之心」BOT案，未來將是台灣最大的產業創新育成中心，我們在簽約後七個月就開工，證明了我們對內科2.0計畫的決心與效率。

不小心講太多，結果都被幕僚剪掉，還是讓專業的林崇傑局長跟大家解釋清楚「內科」的問題在哪裡吧。

#影片後面有彩蛋
#內科之心
#市政老實說
智慧臺北 幸福生活",,13035,351
2018-01-21 10:57:39+00:00,136845026417486_1223343307767647,"農曆新年是團聚的日子，但在台北，有許多人來到這座城市追求夢想，忙到無法回家，就算回家，面對已經不熟悉的環境，卻只覺得尷尬。

今年，我們以「你不知道過年的力量」為主軸，用幽默來化解大家對於回家的複雜情緒，重新詮釋「家」的意義，希望大家都能了解，回家，永遠都是我們最重要的事，

不過，不管你在那裡過年，請先來台北年貨大街採買，促進經濟發展！

#2018台北年貨大街
#你不知道過年的力量
#今年發財金很不一樣
台北市商業處-猴呷猴七淘 in Taipei

---
2018台北年貨大街「你不知道過年的力量」
https://goo.gl/SKfJWm",,9349,275
2018-01-20 10:10:44+00:00,136845026417486_1222503194518325,"在我學生跟幕僚一致推薦之下，昨晚我和太太一起去看宋欣穎導演的動畫片「幸福路上 On Happiness Road」。

這部動畫片是台灣這幾十年的故事，我看到電影裡父母都會要求小孩子讀醫學院，以後當醫生「賺大錢」很有感觸，雖然我當了三十年醫生，結果也沒賺到什麼大錢。

因為這電影有我們共同的記憶，很多地方讓人笑中帶淚，大概每個二十歲以上的台灣人都可以在電影裡找到自己的影子。

我認為「找回自己就是幸福」，就像劇中的女主角一樣，她希望能成為有用的大人，但當長大後看到的大人都沒有想像中有用時，就會開始懷疑自己，不過，我相信只要堅持理想、找回最初的自己，就是一件幸福的事。

推薦大家來看「幸福路上」，以實際行動支持好的國片。

---
「幸福路上」完整預告
https://youtu.be/XbRmjNN4KWM

「幸福路上」最新戲院場次表
pics.ee/4X9K3",,20590,438
2018-01-17 11:23:55+00:00,136845026417486_1217017235066921,"從阿扁市長的「阿扁信箱」、郝市長的「1999市民熱線」，台北市民陳情的管道隨著時代一直在演進。如今，智慧型手機越普及，寫信、講電話來通報市政問題已經不符合時代潮流。

所以我們開發了「Hello Taipei」單一陳情系統App，只要打開你的手機、隨手拍照，透過衛星定位，就能即時上傳各種市政問題，讓這些問題能夠快速的解決。

除了可以即時處理問題，我們也建立Hello Taipei資料庫，透過這些數據，局處可以建立預警系統，在問題發生之前就先解決。

「沒有統計，就沒有統治」，透過這些大數據，我們要讓城市治理更有效率。

#HelloTaipei單一陳情系統
#進步價值光榮城市

---
馬上下載「Hello Taipei」通報市政大小事！
Android版本：https://goo.gl/ZCaQCp
iOS版本：https://goo.gl/Jdy4Cw",,15292,409
2018-01-15 09:23:39+00:00,136845026417486_1768495773199381,"前幾天，副發言人陳思宇介紹一個App給我，是台北市政府消防局開發的全台第一個「視訊119」App，拿起手機通報消防隊時，還可以同時拍照和定位。

在這個資通訊時代，E化是台北市政府的重要工作，有了這個App，民眾在報案時就不用擔心雞同鴨講，不只可以傳輸現場影像給勤務中心；透過GPS定位，還能讓勤務中心掌握報案的位置。

電子化後，消防局值班台上的簿冊少了，減少紙張、減少人力，統計上也更有效率。

大家可以下載備用，但沒有必要時也拜託不要隨便亂玩！

馬上下載「視訊119」App
Android版本：https://goo.gl/aYBD7R
iOS版本：https://goo.gl/JRR4XD

臺北市政府消防局 
智慧臺北 幸福生活
#視訊119
#市政老實說

---
火災時，超過70%傷亡是延遲發現與避難造成，安裝「住宅用火警警報器」，災害來臨時及早發現更安心！

怎麼裝看這邊：https://goo.gl/Y8CJu3
防災宣導園遊會，歡迎一起來玩：https://goo.gl/XUveji",,9940,443
2018-01-14 12:51:53+00:00,136845026417486_1217942168307761,"全新落成的健康公宅，上週開始申請了。

都發局的同仁說，這一兩天民眾的詢問電話接到手軟，今天我也到現場實際檢視。這裡地點好、房子好，更是台北市第一座加入老人日照中心、托嬰等社福設施的公宅，難怪這麼受歡迎。

除了市價85折的租金之外，我們還有分級租金補貼的制度，每月還可以再省數千元不等，讓民眾真正「租得起」這些高品質、高科技、高機能的公共住宅。

為了讓大家容易查詢包租代管、公宅申請、租金補貼等居住服務，我們更特別設置一個網站，整合這些措施，提供「一站式服務」，不只可以線上試算適用的方案，還可以直接在網站內填表申請。

未來，我們會陸續蓋好更多高品質、高科技、高機能的公宅，我相信這些全新型態的公宅，能夠在社區中創造新的社會模式，只要能夠維持一定的品質，接下來要再蓋公宅就不會受到太多阻礙。

推動公宅的過程很辛苦，但我們會一直努力下去。

#健康公宅
#進步價值光榮城市

---
點這裡，一站搞定申請公宅、包租代管與租金補貼！
https://www.housing.taipei.gov.tw/",,44259,928
2018-01-11 12:33:41+00:00,136845026417486_1215573575211287,"大家都知道少子化是國安問題，但這個問題並不是提高生育補助就能解決，因為生育、養育與教育是一系列的問題。

我們今天一口氣開了20家公共托嬰據點，只是解決全面問題的努力之一。

這20家新增的公托，都是利用校園及公家機構的閒置空間來改造，包含一家大型的公辦民營托嬰中心，俗稱「大公托」；以及19家社區公共托育家園，俗稱「小家園」。目前公托總數已經來到53家，預計今年底之前，「大公托＋小家園」要達到70家。

此外，我們正在規劃一個網站來管理這些公托，讓大家方便找到最適合的據點，並有公開透明的登記制度。搭配第二胎每月加碼至6千元的生育補助，希望能夠把生育、養育、教育整個做起來，讓年輕家庭敢生敢養。

去年公布的社會福利績效考核，台北市拿到十項特優，顯示不論托嬰、托幼、托老，我們的局處都拼出好的成績，這正是我說的，「政治要落實在人民生活的每一天，而不是某一天」，未來，我們也會繼續努力，朝向建立一個可長可久的社會福利制度前進。

#20所公共托嬰據點新開幕
#大公托
#小家園
#進步價值光榮城市

---
嬰幼兒福利看這邊
http://born.taipei/",,26083,834
2018-01-10 12:29:45+00:00,136845026417486_1214870841948227,"歷經10年的波折，廣慈園區開發案終於在今天正式開工。

未來，這裡將會有超過1千戶的公共住宅，全新的信義區行政中心、以及完善的托嬰、托幼、老人及身障照顧中心等社福設施。

這個案子在去年10月工程發包，3個月後順利開工，如此高效率，都要歸功於都發局同仁的努力，他們真的太操了。

開工前的溝通，其實相當複雜，我們辦了6次說明會、2次公聽會，10幾次的里長溝通，就是要和居民妥善協調，最後我們也採納他們的意見，減少戶數、降低容積率、增加公園綠地。

此外，我們也變更設計圖，讓64棵非保護樹木都留在原地，這些都是跟居民不斷溝通後的結果。

林洲民局長說，這裡完工後會成為全亞洲最漂亮的公共住宅。這個夢想很大，也一定會實現，因為我們蓋的公宅，不會是居民眼中的「鄰避設施」，而是實現居住正義、提倡都市美學、帶動智慧城市產業、發展全新社會模式的「好厝邊」。

#廣慈園區
#公共住宅
#進步價值光榮城市",,9283,164
2018-01-09 09:30:43+00:00,136845026417486_1213927345375910,"台灣的臨床醫療在世界上名列前矛，但孩子的死亡率，卻排在先進國家的後段班。

我常說，「人生而平等」是個理想，可惜在真實社會從沒實現過，但至少要努力做到醫療和教育平等。孩子沒有選票，政治上沒有聲音，因此常被社會忽視，造成很多在醫院出生、也在醫院長大的重病小孩，因為醫療資源分配不均，獲得的照護往往不成比例。

這次，他們決定站出來，為自己發聲，他們需要你的這一票，支持他們擁有更友善的醫療環境、更精密的醫療技術。

這場選舉，沒有藍綠，沒有派系，沒有統獨，沒有特定立場，希望大家都能為台灣兒童醫療的將來，投下關鍵一票。

---
2018兒童醫療大選
http://www.ntuchf.org.tw/ntuchf2018/",,42153,4233
2018-01-05 10:44:54+00:00,136845026417486_1210297069072271,"以前還沒當市長的時候，我太太常常拖著我去新北投溫泉，因為這裡交通很方便，不用跋山涉水，搭捷運就到了，而且週邊景點很多，隨便就可逛ㄧ整天。

所以要選「台灣十大好湯」，聞名國際的新北投溫泉就是我的首選，週末天氣又要變冷了，除了上網支持之外，大家也快揪一揪一起去新北投泡湯吧！

#投票可以抽哀鬨Ｘ
#請投新北投溫泉一票

---
2017-18台灣十大好湯票選活動
https://goo.gl/4DZGKC",,34309,356
2018-01-04 04:33:10+00:00,136845026417486_1209177819184196,"不久前，我和2015年諾貝爾和平獎得獎團隊代表梅沙悟德・荷穆達尼（Messaoud Romdhani）會面，他是當年發起突尼西亞「四方對話」的公民團體成員之一，我問他：2011年的茉莉花革命之後，為什麼只有突尼西亞成功轉型成民主國家，而其他國家反而陷入內戰的紛擾？

他説，公民社會應該讓不同背景、不同立場、不同價值觀的團體，超越意識形態的對立，坐下來討論共同關心的議題，這是突尼西亞可以化解政治僵局的關鍵。

台灣社會需要的，應該也是這種「真正的對話」，而不是在政論節目裡，每個名嘴在同溫層內「與自己對話」，結果是台灣社會更極端、更撕裂。如果有一天，我們可以讓愛國同心會和台獨大旗隊坐下來討論社子島開發、內湖交通、或是台北市的垃圾處理等民生問題，「真正的對話」才可能在台灣實現。

新的一年，期待這個「真正的對話」能夠為台灣的民主發展帶來新的氣象。",,20105,470
2017-12-31 17:04:34+00:00,136845026417486_1206264102808901,"新的一年，繼續認真快樂的過每一天！

#六點升旗典禮見

https://instagram.com/p/BdX9yzigbMM/
攝影／潘俊霖",柯文哲 is at 臺北最High新年城.,40525,107
2017-12-31 14:38:47+00:00,136845026417486_1206124319489546,"距離2018年只剩不到2小時，下去跨年倒數之前，先來抽空跟大家聊一聊。

#開放大家點播新年祝福
#2018新年快樂",柯文哲 was live.,38308,411
2017-12-31 03:39:53+00:00,136845026417486_1205682692867042,"2017年，是台北蛻變的轉捩點。

年初，台北燈會點亮西區，帶給市民感動與驚奇；年中，西區門戶計畫第一期完成、北門重現風華，軸線翻轉不再只是口號；8月的世大運，市府同仁6年來的用心，市民朋友熱烈的參與，及運動員超水準的表現，讓世界看見台灣，也讓台灣更有自信，勇敢航向全世界。

感謝175萬臉書粉絲朋友，在低潮時給我打氣鼓勵，在政策理念需要宣傳時，幫我轉貼分享，讓我們堅持的價值得以彰顯，讓進步得以實現。

一年的最後一天，讓我們用3分鐘，回顧今年台灣最光榮的一刻。

#世大運Legacy
#進步價值光榮城市",,16893,363
2017-12-30 11:36:33+00:00,136845026417486_1205242682911043,"年底前最後一個星期，我們又開工了萬華區莒光公宅、北投區奇岩長青樂活大樓兩棟建築物。

莒光公宅是我任內開工的第九座公共住宅，經過三年的籌畫，未來一年還有很多公宅會陸續開工。長青樂活大樓則是北投地區最完整的長照據點。

依照北市府之SOP，開工典禮24小時內必須開始動工，但我看工程人員早就把挖土機準備好，往往司儀說典禮完畢，鞭炮還沒放完，他們就迫不及待開始挖了。

這兩棟建築物相同的特點，就是提供在地化的社會福利設施，萬華莒光公宅的低樓層，會把社區公共保母、居家托育、老人照顧與聯醫社區服務等社福設施通通放進來。北投奇岩長青樂活大樓，則是緊扣北投「養生」的形象，設有老人服務中心、社區式長照機構、住宿式長照機構及身障日間作業設施等多元服務。

反對亮點政治，並不是反對大建築，因為AIT（美國在台協會）搬走後留下的空地，我們要建的台北音樂圖書中心就是幾十億的大建築；反對亮點政治，是反對「只想大建築」，我們希望所蓋的每一座硬體建設，都能落實在人民每一天的生活中。

#萬華莒光公宅
#北投奇岩長青樂活大樓
#進步價值光榮城市

---
三週年施政成果
https://glory.taipei

拼出進步價值
https://youtu.be/vsXNnbvYiPo

進步迎接光榮
https://youtu.be/T2kLLi3XumM",,8559,114
2017-12-28 11:55:56+00:00,136845026417486_1748823518499940,"內湖的交通問題，其實不是交通問題，而是都市計畫失敗。過去三十幾年，這裡的人口成長近三倍，但是道路面積沒有增加，加上產業大量進駐，每天上下班時段有十五萬人進出內科，當然會塞車。

我說過，我們要解決問題，而不是解釋問題。台北市政府已經有改善內湖交通的長期計劃，就是連接文湖、松山、板南、信義線的「東側南北向軌道運輸系統」，這條路線目前在進行可行性評估，等結果出來，我們會編列預算積極辦理。

除了長期計畫的大手術，三年來，我們也做了許多「微整型」，包括縮短尖峰時刻的文湖線班距、增開快速公車、拓寬港墘路及成功橋、改善十幾處交通瓶頸的號誌與路幅，這些都有一些成效。

另外，已經在蓋的瑞光公宅，以及計畫中的河濱高中公宅，我們會優先租給內湖上班族，讓大家「在內湖上班，也住在內湖」，減少通勤車輛與人數。

作為醫師，所謂的「很難救」不代表放棄治療，而是要花精力處理。現階段，我們能做的都會盡量做，把所有的小問題解決了，就不會有大問題，為了改善內湖交通，我們會繼續努力。

林欽榮Charles Lin
智慧臺北 幸福生活
#市政老實說",,16645,344
2017-12-28 05:36:46+00:00,136845026417486_1203593246409320,"前幾天，我去環南市場工地現場看一看，一年下來，地下室已經蓋得差不多，再兩年，這裡就會出現一座乾淨、衛生、環保的全新市場。

三年前，這裡還掛滿了反對改建的白布條。如果不能耐煩的和一千三百個攤商溝通，忍受各種挫折打擊，我們不可能走到今天。

我還記得市場改建動工那天，市場處主秘感動得哭了，他說他進台北市政府當科員承辦的第一份公文，就是環南市場改建案，過了十八年，他升到主秘，終於開工了，讓他感觸良多。

有任期的選舉制度，加上沒有歷史觀的政治人物，是台灣停滯不前的最大問題所在。環南市場的改建，一直不是其他政治人物的優先選項，但我們只因它是該做的，就勇敢的去做，從來不會管它的困難度，或是能否在任內完成

不過若只有硬體上的改變，運作還是以前那一套，那改建就沒有意義了，所以我也與市場自治會溝通，希望能夠引進乾濕分離、垃圾不落地、減少包裝、綠能環保的新思維，讓全新的環南市場，是一座可以帶著國外旅客一起來逛的國際級生鮮市場。

#環南市場改變成真
#進步價值光榮城市

---
三週年施政成果
https://glory.taipei 

拼出進步價值
https://youtu.be/vsXNnbvYiPo

進步迎接光榮
https://youtu.be/T2kLLi3XumM",柯文哲 is at 環南市場.,25003,388
2017-12-27 03:01:51+00:00,136845026417486_1202791389822839,"每年跨年都有人問我要不要唱歌，前年被大家拱上台唱五月天的「憨人」，結果拍子亂掉，唱到凸槌。去年本來不想唱，但是為了宣傳世大運，還是跟著大家一起唱了幾句「再出發」。

今年我誓死抵抗不唱歌，不過幕僚們不放過我，認為叫我來拍片成本趨近於零，廣告CP值最高（解釋：分母趨近於零，不管分子多小，除起來就很大），堅持要我通過跟跨年煙火、晚會陣容有關的五個「不機智問答」才能封麥，用手機錄一段短訪來取代廣告。

我最喜歡考試了，來吧！

台北101 2018幸福共好
台北旅遊網
臺北最High新年城

---
2018台北最High新年城跨年晚會

晚會時間：12/31 (日) 19:00－1/1 (一) 01:00
交管資訊：http://www.newyear2018.taipei/traffic01.html
抵離場資訊：http://www.newyear2018.taipei/traffic02.html
直播網址：https://youtu.be/u6wyRhL2ZL4",,45722,1980
2017-12-26 09:36:50+00:00,136845026417486_1202235083211803,"面對問題就是解決問題的第一步，今天就來內湖實測這邊的交通到底有多塞，並提出解決之道。

---
內科交通改善計畫 
https://goo.gl/T6LtQ3",柯文哲 was live.,9443,281
2017-12-26 02:09:16+00:00,136845026417486_1202028956565749,"大家早安，今天我在內湖開會，內湖的交通改善計畫、產業翻轉升級計畫，我們會在直播中給大家一個完整的報告。

#行動市政會議
智慧臺北 幸福生活",柯文哲 was live.,5052,81
2017-12-25 10:58:38+00:00,136845026417486_1201515939950384,"【拼出進步價值】

三年前的今天，我在就職典禮上說過一句話：「我們要用黑白代替藍綠，重新建立一個可以做對的事情的公義社會」。

現在，回過頭來看，在台灣這個社會，要做對的事情，除了努力，更需要堅持的勇氣。

雖然延宕十八年的環南市場開工了，延宕更久的忠孝橋引道拆除也執行了，原本是口號的「軸線翻轉」真的實現了。但是大巨蛋、台北藝術中心、大灣北段商業宅，內湖夾層屋，廣慈都更案、禁建四十七年的社子島，還有需要一千多年才有可能徵收完畢的公共設施保留地，這些陳年問題還沒有真正解決。

但我們沒有因為困難而選擇逃避，我們勇於承擔，用最大的決心與勇氣，來重建政府的公信力。

因為台灣已經停滯太久了，我們要解決問題，而不是解釋問題，更不要製造問題。

這就是我們要的「進步價值」。

#進步價值光榮城市

---
這是我們的三週年施政成果網站，歡迎大家檢視這份成績單
https://glory.taipei

看見光榮城市
https://goo.gl/N8No6c

進步迎接光榮
https://goo.gl/NMzaNP",,16055,396
2017-12-25 01:00:24+00:00,136845026417486_1201211129980865,"三年前的今天，是我們市府團隊開始上工的日子，我要感謝市民朋友三年來的支持與鼓勵，讓我們一起努力，留給下一代一個更永續、更宜居的台北。

光榮城市，我們現在開始。

#進步價值光榮城市",柯文哲 was live.,7857,78
2017-12-24 12:50:05+00:00,136845026417486_1200787970023181,"「政治，就是要落實在人民每一天生活當中。」

這句話是我的政治理念。

三年來，我們每天七點半準時上工，工作到半夜，秉持「把所有的小問題解決了，就沒有大問題」的精神，只要是該做的，不管它是不是亮點、不管它是否可以在任內可完成，我們都義無反顧去做。「有任期的選舉制度，加上沒有歷史觀的政治人物」，造成大家急功近利，一直是台灣政治的最大問題，我們要打破這個惡性循環。

就像過去巷弄違停的問題非常嚴重，但因為溝通難、做起來也難，導致沒有人要解決。後來，我們發現一條一條巷道畫紅線，常常里長要求畫了，下個月換另一個議員要求塗掉，結果公務員疲於奔命。因此不如整個里一起規劃、改善，檢討整體停車位分配，並畫上綠色人行道，保留消防救護通道空間。

說也奇怪，以前畫上紅線時，大家照樣違停，但畫上綠色人行道後，反而違停少了，更重要的是，巷弄內的車禍少了三分之一。鄰里交通環境改善計劃不是什麼偉大的建設，但不知不覺中，已經改善了臺北市民的生活品質。

劃綠色人行道很簡單，但之前的「溝通」就是一件大學問，如果沒有里長挨家挨戶去協調，這個計畫難以推展，所以雖然被罵老派，但我堅持親自贈送匾額給計畫完成度達八成以上的前六十位里長，感謝他們承擔壓力，用心溝通，為這座城市的改變，付出心力。

#鄰里交通改善計畫
#綠色人行道
#進步價值光榮城市

---
這是我們的三週年施政成果網站，歡迎大家檢視這份成績單
https://glory.taipei

進步迎接光榮
https://goo.gl/NMzaNP",,24260,358
2017-12-24 04:00:00+00:00,136845026417486_1200487183386593,"【進步迎接光榮】
　
跟著我的腳步不斷往前走，發現三年來台北的改變。
　
🔘 我們用「在地化、國際化、產業化」的新思維辦好每一場活動，使「杜鵑花季」成為台北的城市意象。
　
🔘 我們讓新北投車站重現風華，帶動既有溫泉文化，串連特色景點、歷史建築成為沒有圍牆的「城市博物館」。
　
🔘 我們在不追加預算的情況下，如期、如質完成世大運所有場館與選手村的整建，為台北市帶來全新的網球中心和籃球館。
　
🔘 我們打造以南港車站為中心的「東區門戶計畫」，興建「北部流行音樂中心」成為歌迷朝聖的流行音樂全新地標。
　
🔘 我們堅持「政治就是落實在人民每一天的生活之中」，因此規劃了八橫八縱16線「幹線公車」，建立更完善的公共運輸體系。
　
🔘 我們完成以北門為中心的「西區門戶計畫」，讓北門廣場成為國門的象徵，而且交通更加順暢。
　
🔘 我們用最大效率，啟動幾十年來無法動彈的「五大市場改造」，讓髒亂、老舊的傳統市場終於看見改變。
　
🔘 我們拆掉過去拆不掉、不切實際的建成圓環美食館，結合公民參與，打造一座屬於市民朋友的圓環廣場。
　
🔘 我們用短短75天讓「中山地下街」改頭換面，用書香、文創活化沒落蕭條的地下街商圈。
　
🔘 最後，在數萬名志工與工作人員的協助下，我們以認真的態度辦好世大運，讓台灣選手回家比賽，寫下2017年夏天的台灣奇蹟。
　
三年下來，我們用開放透明、正直誠信，打造以價值為導向的市政文化，這支動畫影片，呈現了我們追求「進步價值」的願景。未來，我們還會繼續努力，建立一個實事求是的市政團隊，面對問題、解決問題，讓政府重新獲得人民信任，迎接「光榮城市」的到來。
　
#進步價值光榮城市

---
這是我們的三週年施政成果網站，歡迎大家檢視這份成績單
https://glory.taipei

看見光榮城市
https://goo.gl/N8No6c

拼出進步價值
https://goo.gl/yaa3VY",,7999,181
